Date,Forecasted Close Price
2025-03-05,395.71912
2025-03-06,394.23752
2025-03-07,393.40305
2025-03-10,392.89246
2025-03-11,392.55164
2025-03-12,392.30524
2025-03-13,392.11505
2025-03-14,391.96024
2025-03-17,391.82895
2025-03-18,391.71356
2025-03-19,391.60922
2025-03-20,391.51242
2025-03-21,391.42084
2025-03-24,391.3328
