date_range,future_predictions,Week 1,Week 2,Week 3,
05-03-2025,260.90936,-3.23721,-4.92155,-3.43346,$
06-03-2025,259.98703,-1.240741229,-1.886306417,-1.315958922,%
07-03-2025,259.13358,,,,
10-03-2025,258.3574,,,,
11-03-2025,257.67215,,,,
12-03-2025,257.09085,,,,
13-03-2025,256.62585,,,,
14-03-2025,256.28577,,,,
17-03-2025,256.073,,,,
18-03-2025,255.98781,,,,
19-03-2025,256.0302,,,,
20-03-2025,256.20062,,,,
21-03-2025,256.5,,,,
24-03-2025,256.9247,,,,
25-03-2025,257.4759,,,,
