date,predicted_META_close,Week 1,Week 2,Week 3,
05-03-2025,647.8278,-5.81706,-19.64854,-28.51853,$
06-03-2025,645.41315,-0.897933062,-3.032988087,-4.402177554,%
07-03-2025,657.0654,,,,
08-03-2025,642.0099,,,,
09-03-2025,655.6384,,,,
10-03-2025,655.6848,,,,
11-03-2025,642.01074,,,,
12-03-2025,639.7916,,,,
13-03-2025,628.39795,,,,
14-03-2025,630.7156,,,,
15-03-2025,642.01245,,,,
16-03-2025,637.1986,,,,
17-03-2025,633.66174,,,,
18-03-2025,628.17926,,,,
19-03-2025,635.47845,,,,
20-03-2025,633.1026,,,,
21-03-2025,628.3137,,,,
22-03-2025,624.5133,,,,
23-03-2025,623.8065,,,,
24-03-2025,624.2926,,,,
25-03-2025,619.30927,,,,
