date_range,future_predictions,NVDA_close
2025-03-05,130.09305,117.3
2025-03-06,129.01205,110.57
2025-03-07,128.20827,112.69
2025-03-10,128.90892,106.98
2025-03-11,128.93968,108.76
2025-03-12,129.33136,115.74
2025-03-13,129.67531,115.58
2025-03-14,130.33983,121.67
2025-03-17,131.21706,119.53
2025-03-18,131.96465,115.43
2025-03-19,132.28189,117.52
2025-03-20,132.34386,118.53
2025-03-21,132.34663,117.7
2025-03-24,132.12296,121.41
2025-03-25,131.93616,120.69
