Date,Forecasted Close Price,Week 1,Week 2,Week 3,
05-03-2025,395.71912,-3.16748,-4.00556,-4.38632,$
06-03-2025,394.23752,-0.800436431,-1.012223013,-1.108442776,%
07-03-2025,393.40305,,,,
10-03-2025,392.89246,,,,
11-03-2025,392.55164,,,,
12-03-2025,392.30524,,,,
13-03-2025,392.11505,,,,
14-03-2025,391.96024,,,,
17-03-2025,391.82895,,,,
18-03-2025,391.71356,,,,
19-03-2025,391.60922,,,,
20-03-2025,391.51242,,,,
21-03-2025,391.42084,,,,
24-03-2025,391.3328,,,,
