date_range,future_predictions,AAPL_close
2025-03-05,260.90936,235.74
2025-03-06,259.98703,235.33
2025-03-07,259.13358,239.07
2025-03-10,258.3574,227.48
2025-03-11,257.67215,220.84
2025-03-12,257.09085,216.98
2025-03-13,256.62585,209.68
2025-03-14,256.28577,213.49
2025-03-17,256.073,214.0
2025-03-18,255.98781,212.69
2025-03-19,256.0302,215.24
2025-03-20,256.20062,214.1
2025-03-21,256.5,218.27
2025-03-24,256.9247,220.73
2025-03-25,257.4759,223.75
