date,predicted_GOOG_close
2025-03-05,174.98389
2025-03-06,175.94014
2025-03-07,174.15474
2025-03-10,172.46765
2025-03-11,173.23189
2025-03-12,174.42259
2025-03-13,172.22275
2025-03-14,171.99622
2025-03-17,170.0538
2025-03-18,170.809
2025-03-19,170.09517
2025-03-20,171.03061
2025-03-21,169.82526
2025-03-24,168.39272
2025-03-25,169.18484
