Date,Forecasted Close Price,Week 1,Week 2,Week 3,
05-03-2025,124.5776901,-0.974126951,30.51549071,1.144858772,$
06-03-2025,108.3820236,-0.78194334,24.49514891,0.918991812,%
07-03-2025,121.1846936,,,,
10-03-2025,96.526697,,,,
11-03-2025,123.6035632,,,,
12-03-2025,96.28813902,,,,
13-03-2025,135.1536647,,,,
14-03-2025,128.3170854,,,,
17-03-2025,139.3071133,,,,
18-03-2025,155.0931808,,,,
19-03-2025,147.4674563,,,,
20-03-2025,188.5769038,,,,
21-03-2025,161.5195037,,,,
24-03-2025,158.0720488,,,,
25-03-2025,125.7225489,,,,
